Dia,Mes,Año,Magnitud,Latitud,Longitud,Profundidad,Estado,Clase,Gravedad,Gravedad_Cod
24,11,2020,3.6,18.4175,-100.922,41.4,MICH,Sismos,Baja,1
10,6,2017,3.9,17.2995,-94.3697,145.6,VER,Sismos,Media,2
30,4,2018,3.7,16.9062,-100.321,4.3,GRO,Sismos,Media,2
18,1,2021,4.7,17.2583,-101.078,11.0,GRO,Sismos,Muy Alta,3
18,1,2021,4.7,17.2583,-101.078,11.0,GRO,Sismos,Muy Alta,3
3,6,2023,3.9,14.8312,-93.2452,32.7,CHIS,Sismos,Media,2
11,9,2018,3.5,16.1893,-97.5172,16.2,OAX,Sismos,Baja,1
30,5,2023,3.6,16.3238,-98.2953,4.8,OAX,Sismos,Baja,1
14,5,2023,3.7,30.8583,-116.137,7.4,BC,Sismos,Media,2
9,2,2019,3.9,16.5518,-94.3755,109.5,OAX,Sismos,Media,2
22,6,2019,4.2,14.4083,-93.0862,4.9,CHIS,Sismos,Alta,0
5,4,2018,4.6,16.395,-95.1303,105.1,OAX,Sismos,Muy Alta,3
8,4,2023,3.7,15.8353,-95.1123,16.1,OAX,Sismos,Media,2
3,5,2024,3.8,18.49,-100.85,48.8,MICH,Sismos,Media,2
3,1,2021,4.4,14.8405,-92.6722,71.1,CHIS,Sismos,Alta,0
18,1,2021,4.7,17.2583,-101.078,11.0,GRO,Sismos,Muy Alta,3
12,2,2019,3.7,15.1252,-94.3365,16.4,CHIS,Sismos,Media,2
1,3,2023,3.8,15.524,-94.928,18.9,OAX,Sismos,Media,2
23,11,2022,3.6,16.3462,-98.2408,12.5,OAX,Sismos,Baja,1
25,11,2021,4.4,29.8847,-113.808,10.0,BC,Sismos,Alta,0
18,1,2021,4.7,17.2583,-101.078,11.0,GRO,Sismos,Muy Alta,3
24,6,2019,3.6,16.2538,-98.097,11.2,OAX,Sismos,Baja,1
22,7,2022,4.1,29.4918,-113.706,10.0,BCS,Sismos,Alta,0
29,11,2017,3.5,16.8878,-95.5232,12.4,OAX,Sismos,Baja,1
5,4,2018,4.6,16.395,-95.1303,105.1,OAX,Sismos,Muy Alta,3
18,9,2017,4.2,15.5648,-94.0322,67.9,CHIS,Sismos,Alta,0
6,2,2020,3.5,19.3668,-102.19,14.6,MICH,Sismos,Baja,1
18,1,2021,4.7,17.2583,-101.078,11.0,GRO,Sismos,Muy Alta,3
18,1,2021,4.7,17.2583,-101.078,11.0,GRO,Sismos,Muy Alta,3
22,7,2022,4.1,29.4918,-113.706,10.0,BCS,Sismos,Alta,0
25,1,2021,3.6,16.4097,-96.5458,49.3,OAX,Sismos,Baja,1
20,9,2017,3.7,15.6905,-94.5405,31.3,OAX,Sismos,Media,2
5,4,2018,4.6,16.395,-95.1303,105.1,OAX,Sismos,Muy Alta,3
24,10,2018,4.0,16.176,-97.5933,25.8,OAX,Sismos,Alta,0
5,4,2018,4.6,16.395,-95.1303,105.1,OAX,Sismos,Muy Alta,3
18,1,2021,4.7,17.2583,-101.078,11.0,GRO,Sismos,Muy Alta,3
15,5,2020,4.0,15.8867,-98.9373,16.8,GRO,Sismos,Alta,0
18,11,2022,4.0,14.0523,-93.1165,10.0,CHIS,Sismos,Alta,0
19,2,2024,3.8,26.12,-110.44,16.1,BCS,Sismos,Media,2
12,4,2017,3.7,16.8102,-94.4767,129.6,OAX,Sismos,Media,2
5,4,2018,4.6,16.395,-95.1303,105.1,OAX,Sismos,Muy Alta,3
1,8,2022,4.1,16.6038,-94.6862,101.8,OAX,Sismos,Alta,0
24,3,2021,3.9,17.3253,-94.1063,10.0,VER,Sismos,Media,2
17,3,2017,4.2,17.2007,-99.862,49.7,GRO,Sismos,Alta,0
18,1,2021,4.7,17.2583,-101.078,11.0,GRO,Sismos,Muy Alta,3
25,11,2021,4.4,29.8847,-113.808,10.0,BC,Sismos,Alta,0
7,5,2019,3.8,19.5557,-105.44,11.0,JAL,Sismos,Media,2
8,8,2021,3.8,15.0485,-94.5632,18.3,OAX,Sismos,Media,2
25,1,2023,4.1,14.7458,-94.504,10.0,CHIS,Sismos,Alta,0
13,2,2019,4.1,15.0033,-95.651,17.8,OAX,Sismos,Alta,0
16,9,2021,4.0,15.6008,-94.9503,16.1,OAX,Sismos,Alta,0
29,4,2022,4.2,15.0907,-96.8068,10.2,OAX,Sismos,Alta,0
6,1,2023,3.7,16.51,-95.2548,2.0,OAX,Sismos,Media,2
26,2,2024,3.5,16.15,-97.26,15.0,OAX,Sismos,Baja,1
7,1,2019,4.0,14.4775,-94.4327,16.1,CHIS,Sismos,Alta,0
18,1,2021,4.7,17.2583,-101.078,11.0,GRO,Sismos,Muy Alta,3
27,6,2019,3.9,16.3727,-94.9063,17.5,OAX,Sismos,Media,2
28,6,2021,3.6,17.6187,-95.4242,11.1,VER,Sismos,Baja,1
